Mood,Phoneme,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut
Neutral,AA,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0.1,0.1,0.1,0,0,0,0,0,0.5
Neutral,AE,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0.5,0.2,0,0,0.6,0,0.4,0,0,0,0.3,0.3,0,0,0.3,0.3,0.2,0.2,0,0,0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,0.1,0.1,0.3
Neutral,AH,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0,0,0.5,0.2,0,0,0.7,0,0.8,0,0,0,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0.4,0.4,0.2,0.2,0.2,0.2,0,0,0,0,0.3,0.2,0.2,0,0.1,0.1,0.1,0.1,0.4
Neutral,AO,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0.7,0,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.3,0.3,0,0,0,0,0,0.2
Neutral,AW,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0.5,0,0.6,0.1,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0.3
Neutral,AY,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.6,0,0.3,0,0.2,0.2,0.4,0.4,0,0,0,0,0.4,0.4,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0.2
Neutral,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0.04,0.4,0.2,0.3,0,0,0.2,0.2,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0,0
Neutral,CH,0.06,0,0,0,0,0.05,0,0.06,0,0,0,0,0.05,0,0,0,0,0.4,0.5,0.3,0.4,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0.2,0.1,0.6,0.05,0.05,0.2,0.2,0.3,0.3,0,0,0,0.1,0.1,0,0.2,0.2,0.2,0.2,0
Neutral,D,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0.27,0,0,0.5,0.8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.45,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0.7
Neutral,DH,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,0,0,0,0.6,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.125,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0,0,0.4,0,0,0,0,0.7
Neutral,EH,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0.3,0.1,0,0,0.7,0.3,0.2,0,0,0,0,0,0,0,0.3,0.3,0.1,0.1,0,0,0,0,0.3,0.3,0.3,0.3,0.2,0.2,0,0,0.125,0,0,0.3,0.3,0.3,0.1,0.1,0.65
Neutral,ER,0.1,0,0,0,0,0.1,0.5,0.1,0,0,0,0,0.1,0.5,0,0,0,0.822,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0.1,0,0,0.1,0.1,0.2,0.2,0,0,0.3,0.1,0.1,0,0.4,0.4,0.05,0.05,0.4
Neutral,EY,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.7,0.1,0.2,0.125,0.25,0.25,0.25,0.25,0,0,0.2,0.2,0.4,0.4,0,0,0,0.125,0.2,0.2,0.2,0.2,0.25,0.25,0,0,0.25,0.2,0.2,0.4,0.7,0.7,0.2,0.2,0.3
Neutral,F,0.05,0,0,0,0,0,0.3,0.05,0,0,0,0,0,0.3,0,0,0,0.4,0.75,0.5,0.3,0.2,0.2,0.38,0.38,0,0,0.125,0.125,0.2,0.2,0.3,0.1,0.25,0.1,0.3,0.3,0.45,0.45,0.3,0.3,0,0,0.4,0.2,0.2,0.125,0.8,0.8,0.4,0.4,0
Neutral,G,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0.4,0.5,0.3,0,0,0.5,0.5,0.4,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0.2,0.1,0.18,0.06,0,0,0.3,0.3,0.4,0.4,0,0,0.3,0.1,0.1,0.4,0.3,0.3,0.2,0.2,0.85
Neutral,HH,0.05,0,0,0,0,0.1,0.3,0.05,0,0,0,0,0.1,0.3,0.2,0,0,0.5,0.6,0.2,0.1,0.25,0.25,0.125,0.125,0,0,0.25,0.25,0,0,0,0,0.4,0.25,0.25,0.25,0.5,0.5,0.3,0.3,0.1,0.1,0,0.3,0.3,0.125,0.1,0.1,0.05,0.05,0.2
Neutral,IH,0.05,0,0,0,0,0.3,0,0.05,0,0,0,0,0.3,0,0,0,0,0.4,0.35,0.3,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.2,0.2,0.05,0.4,0,0.57,0,0,0.45,0.45,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,0.25,0.2
Neutral,IY,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0.2,0.8,0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0,0,0.5,0.5,0.4,0.4,0.05,0.4,0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25,0.2
Neutral,JH,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0.4,1,0.4,0.2,0,0,0.2,0.2,0,0,0.4,0.4,0.4,0.4,0.1,0.1,0,0,0.6,0.6,0.85,0.85,0.4,0.4,0.05,0.05,0.125,0.1,0.1,0.125,0.6,0.6,0.05,0.05,0.25
Neutral,K,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.3,0,0,0.5,0.6,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.1,0.2,0.1,0.1,0.3,0.3,0.6,0.6,0,0,0.125,0,0,0.05,0.4,0.4,0.2,0.2,0.3
Neutral,L,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0.4,0.4,0.3,0.125,0.3,0.3,0,0,0,0,0,0,0.2,0.2,0.25,0.2,0,0,0,0,0.45,0.45,0.6,0.6,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.125,0.125,0.66
