eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight
0.0,0,0,0,0,0.3,0.3,0.0,0,0,0,0,0.3,0.3,0.1,0,0,0.7,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.0,0.0,0.125,0.0,0.0,0.3,0.3,0.3,0.1,0.1
0.0,0,0,0,0,0.0,0.4,0.0,0,0,0,0,0.0,0.4,0.4,0,0,0.4,0.506,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.477,0.1,0.151,0.0,0.0,0.0,0.619,0.619,0.371,0.371,0.0,0.0,0.125,0.0,0.0,0.2,0.7,0.7,0.1,0.1
0.0,0,0,0,0,0.0,0.1,0.0,0,0,0,0,0.0,0.1,0.4,0,0,0.7,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.05,0.3,0.3,0.2,0.2
0.0,0,0,0,0,0.0,0.5,0.0,0,0,0,0,0.0,0.5,0.0,0,0,0.7,0.1,0.2,0.125,0.25,0.25,0.25,0.25,0.0,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.125,0.2,0.2,0.2,0.2,0.25,0.25,0.0,0.0,0.25,0.2,0.2,0.4,0.7,0.7,0.2,0.2
0.1,0,0,0,0,0.0,0.5,0.1,0,0,0,0,0.0,0.5,0.0,0,0,0.2,1.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25
0.05,0,0,0,0,0.0,0.0,0.05,0,0,0,0,0.0,0.0,0.0,0,0,0.6,0.0,0.3,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
0.0,0,0,0,0,0.0,0.1,0.0,0,0,0,0,0.0,0.1,0.0,0,0,0.1,0.0,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.4,0.55,0.55,0.0,0.0,0.3,0.1,0.1,0.1,0.3,0.3,0.3,0.3
0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25
0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25
0.1,0,0,0,0,0.1,0.0,0.1,0,0,0,0,0.1,0.0,0.27,0,0,0.5,0.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.45,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25
0.05,0,0,0,0,0.0,0.0,0.05,0,0,0,0,0.0,0.0,0.0,0,0,0.6,0.0,0.3,0.0,0.2,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
0.05,0,0,0,0,0.2,0.7,0.05,0,0,0,0,0.2,0.7,0.0,0,0,0.55,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.1,0.22,0.195,0.0,0.509,0.509,0.6,0.6,0.721,0.721,0.2,0.2,0.3,0.1,0.1,0.0,0.4,0.4,0.4,0.4
0.0,0,0,0,0,0.2,0.8,0.0,0,0,0,0,0.2,0.8,0.0,0,0,0.4,0.5,0.3,0.2,0.1,0.1,0.3,0.3,0.0,0.0,0.5,0.5,0.4,0.4,0.05,0.4,0.0,0.57,0.4,0.4,0.5,0.5,0.3,0.3,0.25,0.25,0.5,0.25,0.25,0.3,0.4,0.4,0.25,0.25
